topic_id,world,realm,mission,level,code,module_description,Content Domain Reference
391,Number,Place Value,Understanding Place Value,6,N-PV-PV-6b,"identify the value of each digit to three decimal places and multiply and divide numbers by 10, 100 and 1000 where the answers are up to three decimal places (copied from Fractions)",6F9a
392,Number,Place Value,Rounding,4,N-PV-R-4b,round decimals with one decimal place to the nearest whole number (copied from Fractions),4F7
393,Number,Place Value,Rounding,5,N-PV-R-5b,round decimals with two decimal places to the nearest whole number and to one decimal place (copied from Fractions),5F7
394,Number,Place Value,Rounding,6,N-PV-R-6b,solve problems which require answers to be rounded to specified degrees of accuracy (copied from Fractions),6F10
395,Number,Place Value,Problem Solving (PV),2,N-PV-PS-2a,use place value and number facts to solve problems,2N6
396,Number,Place Value,Problem Solving (PV),3,N-PV-PS-3a,solve number problems and practical problems involving these ideas.,3N6
397,Number,Place Value,Problem Solving (PV),4,N-PV-PS-4a,solve number problems and practical problems that involve all of the above and with increasingly large positive numbers,4N6
398,Number,Place Value,Problem Solving (PV),5,N-PV-PS-5a,solve number problems and practical problems that involve all of the above,5N6
399,Number,Place Value,Problem Solving (PV),6,N-PV-PS-6a,solve number and practical problems that involve all of the above,6N6
400,Number,Addition and Subtraction,Mental Calculation (A&S),1,N-AS-MC-1b,"read, write and interpret mathematical statements involving addition (+), subtraction (-) and equals (=) signs (appears also in Written Methods)",1C2b
401,Number,Addition and Subtraction,Mental Calculation (A&S),2,N-AS-MC-2b,show that addition of two numbers can be done in any order (commutative) and subtraction of one number from another cannot,2C9a
402,Number,Addition and Subtraction,Mental Calculation (A&S),6,N-AS-MC-6b,use their knowledge of the order of operations to carry out calculations involving the four operations,6C9
403,Number,Addition and Subtraction,Problem Solving (A&S),1,N-AS-PS-1a,"solve one-step problems that involve addition and subtraction, using concrete objects and pictorial representations, and missing number problems such as 7 = ? - 9",1C4
404,Number,Addition and Subtraction,Problem Solving (A&S),2,N-AS-PS-2a,"solve problems with addition and subtraction: * using concrete objects and pictorial representations, including those involving numbers, quantities and measures * applying their increasing knowledge of mental and written methods",2C4
405,Number,Addition and Subtraction,Problem Solving (A&S),2,N-AS-PS-2b,"solve simple problems in a practical context involving addition and subtraction of money of the same unit, including giving change (copied from Measurement)",2M9
406,Number,Addition and Subtraction,Problem Solving (A&S),3,N-AS-PS-3a,"solve problems, including missing number problems, using number facts, place value, and more complex addition and subtraction",3C4
407,Number,Addition and Subtraction,Problem Solving (A&S),4,N-AS-PS-4a,"solve addition and subtraction two-step problems in contexts, deciding which operations and methods to use and why",4C4
408,Number,Addition and Subtraction,Problem Solving (A&S),5,N-AS-PS-5a,"solve addition and subtraction multi-step problems in contexts, deciding which operations and methods to use and why",5C4
409,Number,Addition and Subtraction,Problem Solving (A&S),6,N-AS-PS-6a,"solve addition and subtraction multi-step problems in contexts, deciding which operations and methods to use and why",6C4
410,Number,Addition and Subtraction,Problem Solving (A&S),6,N-AS-PS-6b,"solve problems involving addition, subtraction, multiplication and division",6C8
411,Number,Multiplication and Division,Multiplication & Division Facts,2,N-MD-MDF-2a,"count in steps of 2, 3, and 5 from 0, and in tens from any number, forward or backward (copied from Number and Place Value)",2N1
412,Number,Multiplication and Division,Multiplication & Division Facts,3,N-MD-MDF-3a,"count from 0 in multiples of 4, 8, 50 and 100 (copied from Number and Place Value)",3N1b
413,Number,Multiplication and Division,Multiplication & Division Facts,4,N-MD-MDF-4a,"count in multiples of 6, 7, 9, 25 and 1000 (copied from Number and Place Value)",4N1
414,Number,Multiplication and Division,Mental Calculation (M&D),4,N-MD-MC-4b,recognise and use factor pairs and commutativity in mental calculations (appears also in Properties of Numbers),4C6c
415,Number,Multiplication and Division,Mental Calculation (M&D),5,N-MD-MC-5b,"multiply and divide whole numbers and those involving decimals by 10, 100 and 1000",5C6b
416,Number,Multiplication and Division,Mental Calculation (M&D),6,N-MD-MC-6b,associate a fraction with division and calculate decimal fraction equivalents (e.g. 0.375) for a simple fraction (e.g. �/8) (copied from Fractions),6F6
417,Number,Multiplication and Division,Written Calculation,5,N-MD-WC-5b,divide numbers up to 4 digits by a one-digit number using the formal written method of short division and interpret remainders appropriately for the context,5C7b
418,Number,Multiplication and Division,Written Calculation,6,N-MD-WC-6b,"divide numbers up to 4-digits by a two-digit whole number using the formal written method of short division where appropriate for the context divide numbers up to 4 digits by a two-digit whole number using the formal written method of long division, and interpret remainders as whole number remainders, fractions, or by rounding, as appropriate for the context",6C7b
419,Number,Multiplication and Division,Written Calculation,6,N-MD-WC-6c,use written division methods in cases where the answer has up to two decimal places (copied from Fractions (including decimals)),6F9c
420,Number,Multiplication and Division,Properties of Numbers,5,N-MD-PN-5b,"know and use the vocabulary of prime numbers, prime factors and composite (non-prime) numbers",5C5b
421,Number,Multiplication and Division,Properties of Numbers,5,N-MD-PN-5c,establish whether a number up to 100 is prime and recall prime numbers up to 19,5C5c
422,Number,Multiplication and Division,Properties of Numbers,5,N-MD-PN-5d,"recognise and use square numbers and cube numbers, and the notation for squared (�) and cubed (�)",5C5d
423,Number,Multiplication and Division,Properties of Numbers,6,N-MD-PN-6b,use common factors to simplify fractions; use common multiples to express fractions in the same denomination (copied from Fractions),6F2
424,Number,Multiplication and Division,Properties of Numbers,6,N-MD-PN-6c,"calculate, estimate and compare volume of cubes and cuboids using standard units, including centimetre cubed (cm�) and cubic metres (m�), and extending to other units such as mm� and km� (copied from Measures)",6M8a
425,Number,Multiplication and Division,Problem Solving (M&D),1,N-MD-PS-1a,"solve one-step problems involving multiplication and division, by calculating the answer using concrete objects, pictorial representations and arrays with the support of the teacher",1C8
426,Number,Multiplication and Division,Problem Solving (M&D),2,N-MD-PS-2a,"solve problems involving multiplication and division, using materials, arrays, repeated addition, mental methods, and multiplication and division facts, including problems in contexts",2C8
427,Number,Multiplication and Division,Problem Solving (M&D),3,N-MD-PS-3a,"solve problems, including missing number problems, involving multiplication and division, including positive integer scaling problems and correspondence problems in which n objects are connected to m objects",3C8
428,Number,Multiplication and Division,Problem Solving (M&D),4,N-MD-PS-4a,"solve problems involving multiplying and adding, including using the distributive law to multiply two digit numbers by one digit, integer scaling problems and harder correspondence problems such as n objects are connected to m objects",4C8
429,Number,Multiplication and Division,Problem Solving (M&D),5,N-MD-PS-5a,"solve problems involving multiplication and division including using their knowledge of factors and multiples, squares and cubes",5C8a
430,Number,Multiplication and Division,Problem Solving (M&D),5,N-MD-PS-5b,"solve problems involving addition, subtraction, multiplication and division and a combination of these, including understanding the meaning of the equals sign",5C8b
431,Number,Multiplication and Division,Problem Solving (M&D),5,N-MD-PS-5c,"solve problems involving multiplication and division, including scaling by simple fractions and problems involving simple rates",5C8c
432,Number,Multiplication and Division,Problem Solving (M&D),6,N-MD-PS-6a,"solve problems involving addition, subtraction, multiplication and division",6C8
433,Number,Multiplication and Division,Problem Solving (M&D),6,N-MD-PS-6b,solve problems involving similar shapes where the scale factor is known or can be found (copied from Ratio and Proportion),6R3
434,Number,"Fractions, Decimals and Percentages",Recognising Fractions,1,N-FDP-RF-1b,"recognise, find and name a quarter as one of four equal parts of an object, shape or quantity",1F1b
435,Number,"Fractions, Decimals and Percentages",Recognising Fractions,3,N-FDP-RF-3b,recognise that tenths arise from dividing an object into 10 equal parts and in dividing one - digit numbers or quantities by 10.,3F1a
436,Number,"Fractions, Decimals and Percentages",Recognising Fractions,3,N-FDP-RF-3c,recognise and use fractions as numbers: unit fractions and non-unit fractions with small denominators,3F1c
437,Number,"Fractions, Decimals and Percentages",Recognising Fractions,4,N-FDP-RF-4a,recognise that hundredths arise when dividing an object by one hundred and dividing tenths by ten,4F1
438,Number,"Fractions, Decimals and Percentages",Recognising Fractions,5,N-FDP-RF-5a,"recognise and use thousandths and relate them to tenths, hundredths and decimal equivalents (appears also in Equivalence)",5F6b
439,Number,"Fractions, Decimals and Percentages",Equivalence,4,N-FDP-E-4b,recognise and write decimal equivalents of any number of tenths or hundredths,4F6b
440,Number,"Fractions, Decimals and Percentages",Equivalence,4,N-FDP-E-4c,recognise and write decimal equivalents to 1/4; 1/2; 3/4,4F6a
441,Number,"Fractions, Decimals and Percentages",Equivalence,5,N-FDP-E-5b,read and write decimal numbers as fractions (e.g. 0.71 = 71/100),5F6a
442,Number,"Fractions, Decimals and Percentages",Equivalence,5,N-FDP-E-5c,"recognise and use thousandths and relate them to tenths, hundredths and decimal equivalents",5F6b
443,Number,"Fractions, Decimals and Percentages",Equivalence,5,N-FDP-E-5d,"recognise the per cent symbol (%) and understand that per cent relates to ""number of parts per hundred"", and write percentages as a fraction with denominator 100 as a decimal fraction",5F11
444,Number,"Fractions, Decimals and Percentages",Equivalence,6,N-FDP-E-6b,associate a fraction with division and calculate decimal fraction equivalents (e.g. 0.375) for a simple fraction (e.g. 3/8),6F6
445,Number,"Fractions, Decimals and Percentages",Addition and Subtraction of Fractions,5,N-FDP-ASF-5b,recognise mixed numbers and improper fractions and convert from one form to the other and write mathematical statements > 1 as a mixed number (e.g. 2/5 + 4/5 = 6/5 = 1 1/5),5F2a
446,Number,"Fractions, Decimals and Percentages",Multiplication and Division of Fractions,6,N-FDP-MDF-6b,multiply one-digit numbers with up to two decimal places by whole numbers,6F9b
447,Number,"Fractions, Decimals and Percentages",Multiplication and Division of Fractions,6,N-FDP-MDF-6c,divide proper fractions by whole numbers (e.g. 1/3 � 2 = 1/6),6F5b
448,Number,"Fractions, Decimals and Percentages",Multiplication and Division of Decimals,4,N-FDP-MDD-4a,"find the effect of dividing a one- or two-digit number by 10 and 100, identifying the value of the digits in the answer as ones, tenths and hundredths",4F9
449,Number,"Fractions, Decimals and Percentages",Multiplication and Division of Decimals,6,N-FDP-MDD-6a,multiply one-digit numbers with up to two decimal places by whole numbers,6F9b
450,Number,"Fractions, Decimals and Percentages",Multiplication and Division of Decimals,6,N-FDP-MDD-6b,"multiply and divide numbers by 10, 100 and 1000 where the answers are up to three decimal places",6F9a
451,Number,"Fractions, Decimals and Percentages",Multiplication and Division of Decimals,6,N-FDP-MDD-6c,"identify the value of each digit to three decimal places and multiply and divide numbers by 10, 100 and 1000 where the answers are up to three decimal places",6F9a
452,Number,"Fractions, Decimals and Percentages",Multiplication and Division of Decimals,6,N-FDP-MDD-6d,associate a fraction with division and calculate decimal fraction equivalents (e.g. 0.375) for a simple fraction (e.g. 3/8),6F6
453,Number,"Fractions, Decimals and Percentages",Multiplication and Division of Decimals,6,N-FDP-MDD-6e,use written division methods in cases where the answer has up to two decimal places,6F9c
454,Number,"Fractions, Decimals and Percentages",Problem Solving (FDP),3,N-FDP-PS-3a,solve problems that involve all of the above,3F10
455,Number,"Fractions, Decimals and Percentages",Problem Solving (FDP),4,N-FDP-PS-4a,"solve problems involving increasingly harder fractions to calculate quantities, and fractions to divide quantities, including non-unit fractions where the answer is a whole number",4F10a
456,Number,"Fractions, Decimals and Percentages",Problem Solving (FDP),4,N-FDP-PS-4b,solve simple measure and money problems involving fractions and decimals to two decimal places.,4F10b
457,Number,"Fractions, Decimals and Percentages",Problem Solving (FDP),5,N-FDP-PS-5a,solve problems involving numbers up to three decimal places,5F10
458,Number,"Fractions, Decimals and Percentages",Problem Solving (FDP),5,N-FDP-PS-5b,"solve problems which require knowing percentage and decimal equivalents of 1/2, 1/4, 1/5, 2/5, 4/5 and those with a denominator of a multiple of 10 or 25.",5F12
459,Geometry,Properties of Shapes,Identifying Shapes and Their Properties,2,G-POS-ISTP-2b,"identify and describe the properties of 3-D shapes, including the number of edges, vertices and faces",2G2b
460,Geometry,Properties of Shapes,Identifying Shapes and Their Properties,2,G-POS-ISTP-2c,"identify 2-D shapes on the surface of 3-D shapes, [for example, a circle on a cylinder and a triangle on a pyramid]",2G3
461,Geometry,Properties of Shapes,Identifying Shapes and Their Properties,6,G-POS-ISTP-6b,"illustrate and name parts of circles, including radius, diameter and circumference and know that the diameter is twice the radius",6G5
462,Geometry,Properties of Shapes,Drawing and Constructing,3,G-POS-DAC-3a,draw 2-D shapes and make 3-D shapes using modelling materials; recognise 3-D shapes in different orientations and describe them,3G3b
463,Geometry,Properties of Shapes,Drawing and Constructing,4,G-POS-DAC-4a,complete a simple symmetric figure with respect to a specific line of symmetry,4G2c
464,Geometry,Properties of Shapes,Drawing and Constructing,5,G-POS-DAC-5a,"draw given angles, and measure them in degrees ()",5G4c
465,Geometry,Properties of Shapes,Drawing and Constructing,6,G-POS-DAC-6a,draw 2-D shapes using given dimensions and angles,6G3a
466,Geometry,Properties of Shapes,Drawing and Constructing,6,G-POS-DAC-6b,"recognise, describe and build simple 3-D shapes, including making nets (appears also in Identifying Shapes and Their Properties)",6G3b
467,Geometry,Properties of Shapes,Comparing and Classifying,2,G-POS-CAC-2a,compare and sort common 2-D and 3-D shapes and everyday objects,2G1a
468,Geometry,Properties of Shapes,Comparing and Classifying,4,G-POS-CAC-4a,"compare and classify geometric shapes, including quadrilaterals and triangles, based on their properties and sizes",4G2a
469,Geometry,Properties of Shapes,Comparing and Classifying,5,G-POS-CAC-5a,use the properties of rectangles to deduce related facts and find missing lengths and angles,5G2a
470,Geometry,Properties of Shapes,Comparing and Classifying,5,G-POS-CAC-5b,distinguish between regular and irregular polygons based on reasoning about equal sides and angles,5G2b
471,Geometry,Properties of Shapes,Comparing and Classifying,6,G-POS-CAC-6a,"compare and classify geometric shapes based on their properties and sizes and find unknown angles in any triangles, quadrilaterals, and regular polygons",6G2a
472,Geometry,Properties of Shapes,Angles,3,G-POS-A-3b,"identify right angles, recognise that two right angles make a half-turn, three make three quarters of a turn and four a complete turn; identify whether angles are greater than or less than a right angle",3G4b
473,Geometry,Properties of Shapes,Angles,3,G-POS-A-3c,identify horizontal and vertical lines and pairs of perpendicular and parallel lines,3G2
474,Geometry,Properties of Shapes,Angles,5,G-POS-A-5b,identify: * angles at a point and one whole turn (total 360�) * angles at a point on a straight line and � a turn (total 180�) * other multiples of 90�,5G4b
475,Geometry,Position and Direction,"Position, Direction and Movement",4,G-PD-PDM-4b,describe movements between positions as translations of a given unit to the left/right and up/down,4P2
476,Geometry,Position and Direction,"Position, Direction and Movement",4,G-PD-PDM-4c,plot specified points and draw sides to complete a given polygon,4P3b
477,Geometry,Position and Direction,"Position, Direction and Movement",6,G-PD-PDM-6b,"draw and translate simple shapes on the coordinate plane, and reflect them in the axes.",6P2
478,Geometry,Position and Direction,Pattern,2,G-PD-P-2a,order and arrange combinations of mathematical objects in patterns and sequences,2P1
479,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",2,S-S-ICPD-2b,ask and answer simple questions by counting the number of objects in each category and sorting the categories by quantity,2S2a
480,Statistics,Statistics,"Interpreting, Constructing and Presenting Data",2,S-S-ICPD-2c,ask and answer questions about totalling and comparing categorical data,2S2b
481,Statistics,Statistics,Solving Problems,3,S-S-SP-3a,solve one-step and two-step questions [e.g. 'How many more?' and 'How many fewer?'] using information presented in scaled bar charts and pictograms and tables.,3S2
482,Statistics,Statistics,Solving Problems,4,S-S-SP-4a,"solve comparison, sum and difference problems using information presented in bar charts, pictograms, tables and other graphs.",4S2
483,Statistics,Statistics,Solving Problems,5,S-S-SP-5a,"solve comparison, sum and difference problems using information presented in a line graph",5S2
484,Measurement,Measurement,Comparing and Estimating,1,M-M-CE-1a,"compare, describe and solve practical problems for: * lengths and heights * mass/weight * capacity and volume * time",1M1
485,Measurement,Measurement,Comparing and Estimating,1,M-M-CE-1b,"sequence events in chronological order using language [e.g. before and after, next, first, today, yesterday, tomorrow, morning, afternoon and evening]",1M4c
486,Measurement,Measurement,Comparing and Estimating,2,M-M-CE-2a,"compare and order lengths, mass, volume/capacity and record the results using >, < and =",2M1
487,Measurement,Measurement,Comparing and Estimating,2,M-M-CE-2b,compare and sequence intervals of time,2M4b
488,Measurement,Measurement,Comparing and Estimating,3,M-M-CE-3a,"compare durations of events, for example to calculate the time taken by particular events or tasks",3M4f
489,Measurement,Measurement,Comparing and Estimating,3,M-M-CE-3b,"estimate and read time with increasing accuracy to the nearest minute; record and compare time in terms of seconds, minutes, hours and o'clock; use vocabulary such as a.m./p.m., morning, afternoon, noon and midnight (appears also in Telling the Time)",3M4d
490,Measurement,Measurement,Comparing and Estimating,4,M-M-CE-4a,"estimate, compare and calculate different measures, including money in pounds and pence (also included in Measuring)",4M2
491,Measurement,Measurement,Comparing and Estimating,5,M-M-CE-5a,"calculate and compare the area of squares and rectangles including using standard units, square centimetres (cm�) and square metres (m�) and estimate the area of irregular shapes (also included in measuring)",5M7b
492,Measurement,Measurement,Comparing and Estimating,5,M-M-CE-5b,estimate volume (e.g. using 1 cm� blocks to build cubes and cuboids) and capacity (e.g. using water),5M8
493,Measurement,Measurement,Comparing and Estimating,6,M-M-CE-6a,"calculate, estimate and compare volume of cubes and cuboids using standard units, including centimetre cubed (cm�) and cubic metres (m�), and extending to other units such as mm� and km�.",6M8a
494,Measurement,Measurement,Measuring and Calculating,2,M-M-MC-2c,find different combinations of coins that equal the same amounts of money,2M3b
495,Measurement,Measurement,Measuring and Calculating,2,M-M-MC-2d,"solve simple problems in a practical context involving addition and subtraction of money of the same unit, including giving change",2M9
496,Measurement,Measurement,Measuring and Calculating,5,M-M-MC-5d,"recognise and use square numbers and cube numbers, and the notation for squared (�) and cubed (�) (copied from Multiplication and Division)",5C5d
497,Measurement,Measurement,Measuring and Calculating,6,M-M-MC-6e,recognise when it is possible to use formulae for area and volume of shapes,6M8b
498,Measurement,Measurement,Telling the Time,1,M-M-TT-1b,"recognise and use language relating to dates, including days of the week, weeks, months and years",1M4b
499,Measurement,Measurement,Telling the Time,2,M-M-TT-2b,know the number of minutes in an hour and the number of hours in a day. (appears also in Converting),2M4c
500,Measurement,Measurement,Telling the Time,3,M-M-TT-3b,"estimate and read time with increasing accuracy to the nearest minute; record and compare time in terms of seconds, minutes, hours and o'clock; use vocabulary such as a.m./p.m., morning, afternoon, noon and midnight (appears also in Comparing and Estimating)",3M4d
501,Measurement,Measurement,Telling the Time,4,M-M-TT-4b,solve problems involving converting from hours to minutes; minutes to seconds; years to months; weeks to days (appears also in Converting),4M4c
502,Measurement,Measurement,Converting,2,M-M-C-2a,know the number of minutes in an hour and the number of hours in a day. (appears also in Telling the Time),2M4c
503,Measurement,Measurement,Converting,3,M-M-C-3a,"know the number of seconds in a minute and the number of days in each month, year and leap year",3M4e
504,Measurement,Measurement,Converting,4,M-M-C-4a,convert between different units of measure (e.g. kilometre to metre; hour to minute),4M5
505,Measurement,Measurement,Converting,4,M-M-C-4b,"read, write and convert time between analogue and digital 12 and 24-hour clocks (appears also in Converting)",4M4b
506,Measurement,Measurement,Converting,4,M-M-C-4c,solve problems involving converting from hours to minutes; minutes to seconds; years to months; weeks to days (appears also in Telling the Time),4M4c
507,Measurement,Measurement,Converting,5,M-M-C-5a,convert between different units of metric measure (e.g. kilometre and metre; centimetre and metre; centimetre and millimetre; gram and kilogram; litre and millilitre),5M5
508,Measurement,Measurement,Converting,5,M-M-C-5b,solve problems involving converting between units of time,5M4
509,Measurement,Measurement,Converting,5,M-M-C-5c,"understand and use equivalences between metric units and common imperial units such as inches, pounds and pints",5M6
510,Measurement,Measurement,Converting,6,M-M-C-6a,"use, read, write and convert between standard units, converting measurements of length, mass, volume and time from a smaller unit of measure to a larger unit, and vice versa, using decimal notation to up to three decimal places",6M5
511,Measurement,Measurement,Converting,6,M-M-C-6b,"solve problems involving the calculation and conversion of units of measure, using decimal notation up to three decimal places where appropriate (appears also in Measuring and Calculating)",6M9
512,Measurement,Measurement,Converting,6,M-M-C-6c,convert between miles and kilometres,6M6
513,Algebra,Algebra,Equations,1,A-A-E-1b,represent and use number bonds and related subtraction facts within 20 (copied from Addition and Subtraction),1C1
514,Algebra,Algebra,Equations,2,A-A-E-2b,"recall and use addition and subtraction facts to 20 fluently, and derive and use related facts up to 100 (copied from Addition and Subtraction)",2C1
515,Algebra,Algebra,Equations,3,A-A-E-3b,"solve problems, including missing number problems, involving multiplication and division, including integer scaling (copied from Multiplication and Division)",3C8
516,Algebra,Algebra,Equations,6,A-A-E-6b,find pairs of numbers that satisfy number sentences involving two unknowns,6A4
517,Algebra,Algebra,Equations,6,A-A-E-6c,enumerate all possibilities of combinations of two variables,6A5
518,Algebra,Algebra,Formulae,6,A-A-F-6b,recognise when it is possible to use formulae for area and volume of shapes (copied from Measurement),6M8b
519,Algebra,Algebra,Sequences,2,A-A-S-2b,order and arrange combinations of mathematical objects in patterns (copied from Geometry: position and direction),2P1
